WIPRO,ALBK,AMBUJACEM,ANDHRABANK,ASHOKLEY,ASIANPAINT,BHARATFORG,BHEL,CAIRN,CANBK,CENTURYTEX,COLPAL,DLF,DRREDDY,GMRINFRA,HCLTECH,HDFCBANK,HINDALCO,ICICIBANK,IOB,IGL,INDUSINDBK,KTKBANK,LUPIN,MRF,M&M,MCLEODRUSS,ONGC,ORIENTBANK,PNB,RECLTD,SRTRANSFIN,SAIL,SUNPHARMA,SYNDIBANK,TATACHEM,TCS,TITAN,UCOBANK,ULTRACEMCO,UNITECH,MCDOWELL-N,VOLTAS,YESBANK
0.472298095,0.426798183,0.957969116,0.293539628,0.353571712,0.960238519,0.473559353,-0.659523663,0.708134462,0.427209508,-0.169008153,0.96585849,-0.514883362,0.859996559,-0.825320289,0.894636256,0.957445088,0.164804273,0.585485015,-0.011036314,0.520783919,0.954621198,0.083753188,0.951763341,0.877547205,0.860483096,0.791571912,0.220209248,0.312538504,0.220165952,0.160117315,0.612474211,-0.555723933,1,0.646910082,0.558233892,0.912317605,0.954017152,0.407294785,0.939245565,-0.651799199,0.185470969,-0.128572852,0.857696006
0.750731727,0.872851947,0.686016563,0.839120334,0.755896036,0.731198807,0.800224702,0.03364017,0.795140607,0.887148693,0.355906139,0.675575219,0.027518949,0.832862504,-0.330638219,0.805873424,0.773658724,0.697433253,0.924453693,0.666689997,0.646158472,0.798707377,0.621632061,0.747106995,0.742755158,0.848114625,0.739311952,0.677817998,0.848012619,0.772848226,0.705441569,0.914386689,0.07470617,0.646910082,1,0.870455661,0.766104897,0.746410111,0.86597676,0.613942091,-0.076315293,0.574850936,0.533236431,0.856965322
0.908955316,0.926809914,0.602959813,0.88492974,0.888679977,0.690636425,0.918240621,0.172629189,0.88222185,0.880926014,0.423408136,0.607504303,0.073650358,0.854485325,-0.247006864,0.775964628,0.706911991,0.813111723,0.887049457,0.699556406,0.768704275,0.736125936,0.535819002,0.730743619,0.720407115,0.824530133,0.735522931,0.762453865,0.867756094,0.893342116,0.777060537,0.909468198,0.239397562,0.558233892,0.870455661,1,0.774470185,0.665133689,0.852853247,0.519783474,0.000701317,0.47330813,0.641546074,0.810575476
0.74466949,0.676443848,0.894874734,0.549941478,0.58124552,0.937153112,0.734562994,-0.404133186,0.880862173,0.671328777,-0.031836806,0.899416275,-0.3937876,0.964129221,-0.726699667,0.949167035,0.926730411,0.491862571,0.743003465,0.294999146,0.711633615,0.946920573,0.150421215,0.96325854,0.855521134,0.931435251,0.844301537,0.422409182,0.531634134,0.516169521,0.374387007,0.794000595,-0.305805585,0.912317605,0.766104897,0.774470185,1,0.933917473,0.631550783,0.83427999,-0.526349006,0.218256785,0.154777213,0.884110461
0.542964538,0.581672153,0.924532147,0.455340614,0.461259261,0.964609945,0.581463898,-0.549872198,0.761026141,0.568251983,-0.156180926,0.940707277,-0.516950944,0.902281433,-0.814592718,0.90451126,0.948410492,0.301494804,0.657399406,0.173591401,0.677424523,0.964519735,0.143058517,0.955543471,0.844762973,0.903385674,0.779352931,0.275808532,0.456691924,0.380089386,0.23960237,0.722515582,-0.493299087,0.954017152,0.746410111,0.665133689,0.933917473,1,0.552298232,0.860763916,-0.633710323,0.199134835,-0.014157403,0.864637582
0.76435308,0.951865793,0.449931206,0.935960702,0.836258617,0.526420116,0.881952864,0.264204974,0.759426326,0.956587589,0.335192107,0.418620539,0.044461187,0.727114515,-0.163759067,0.608425345,0.548290768,0.854870909,0.829619686,0.805178994,0.642255197,0.599432172,0.580683312,0.586947692,0.542729678,0.67478237,0.514492718,0.694614642,0.917740874,0.889246316,0.804997891,0.91483126,0.272932073,0.407294785,0.86597676,0.852853247,0.631550783,0.552298232,1,0.334127435,0.033238128,0.472000374,0.73098903,0.641994465
0.471421758,0.350655376,0.956076114,0.255579533,0.37235726,0.903440988,0.429658434,-0.565243304,0.68045053,0.357387704,0.05185946,0.938259069,-0.33328577,0.794931697,-0.667251672,0.879354088,0.937417233,0.122709024,0.606457196,-0.093224138,0.360087507,0.910435255,0.199207671,0.890717116,0.904354096,0.825575611,0.832442733,0.285498076,0.300578731,0.174444957,0.245455423,0.560395325,-0.412076513,0.939245565,0.613942091,0.519783474,0.83427999,0.860763916,0.334127435,1,-0.469967002,0.322512196,-0.06675112,0.874840073
0.057257363,0.015845348,-0.530458491,0.206920794,0.222487666,-0.550234086,0.041992391,0.861890436,-0.190498883,0.008663833,0.8074453,-0.545573343,0.944264483,-0.400246424,0.924045317,-0.387369365,-0.464199835,0.226229886,0.072340394,0.331121929,-0.355789342,-0.501431449,0.572421104,-0.537807333,-0.304812643,-0.349079344,-0.227826639,0.451877487,0.204811968,0.228429834,0.475863301,-0.112089444,0.850136472,-0.651799199,-0.076315293,0.000701317,-0.526349006,-0.633710323,0.033238128,-0.469967002,1,0.391577937,0.636182675,-0.261647222
0.412131157,0.441611848,0.260219194,0.498208828,0.532077458,0.286510724,0.347214728,0.36619834,0.300060354,0.470710103,0.682839258,0.274163418,0.386236678,0.334125523,0.159105035,0.417072814,0.354401304,0.453185516,0.647693104,0.362185149,0.084161606,0.328537723,0.841180437,0.254722955,0.39889277,0.433036484,0.463468014,0.547889099,0.660084009,0.473814903,0.712431742,0.560950092,0.448539989,0.185470969,0.574850936,0.47330813,0.218256785,0.199134835,0.472000374,0.322512196,0.391577937,1,0.582249104,0.51202834
0.656653833,0.709722213,-0.035961912,0.817818011,0.775728336,0.03478977,0.708802854,0.790718856,0.44714055,0.696129532,0.774519402,-0.05678029,0.599287859,0.303136906,0.465674755,0.213408786,0.092069944,0.829496957,0.656400399,0.800904578,0.281936739,0.099431686,0.731541915,0.106059913,0.179863115,0.285446905,0.271187388,0.784926631,0.794523378,0.826997068,0.896427299,0.602260009,0.809222471,-0.128572852,0.533236431,0.641546074,0.154777213,-0.014157403,0.73098903,-0.06675112,0.636182675,0.582249104,1,0.283428671
0.737449728,0.690528308,0.875719611,0.627305353,0.696883698,0.917224641,0.706047852,-0.261533116,0.847766381,0.669700015,0.275384552,0.905787513,-0.141022866,0.918866301,-0.524245758,0.947109271,0.945664107,0.4554098,0.838436487,0.302102923,0.565251413,0.950335353,0.468766667,0.912792488,0.957146484,0.923993202,0.908760377,0.578387486,0.647420927,0.559090093,0.572982936,0.81747456,-0.130249007,0.857696006,0.856965322,0.810575476,0.884110461,0.864637582,0.641994465,0.874840073,-0.261647222,0.51202834,0.283428671,1
ALBK,ASHOKLEY,BHARATFORG,BHEL,DRREDDY,GMRINFRA,ICICIBANK,IGL,INDUSINDBK,LUPIN,M&M,ORIENTBANK,SYNDIBANK,TATACHEM,ULTRACEMCO,UNITECH,YESBANK,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.884216681,0.910658487,0.273446853,0.775412211,0.189299155,0.846840564,0.758706412,0.631015695,0.619652602,0.720668835,0.928340497,0.872851947,0.926809914,0.350655376,0.015845348,0.690528308,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.884216681,1,0.888928677,0.354649513,0.726043689,0.019368079,0.78096076,0.618554178,0.576974789,0.578591766,0.688884729,0.888051887,0.755896036,0.888679977,0.37235726,0.222487666,0.696883698,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.910658487,0.888928677,1,0.233968747,0.803840651,0.171008983,0.837177689,0.693498058,0.646839598,0.674939318,0.750983886,0.820784451,0.800224702,0.918240621,0.429658434,0.041992391,0.706047852,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.273446853,0.354649513,0.233968747,1,0.269033419,0.836757401,0.184709861,0.050449117,0.467049167,0.471073883,0.251087944,0.411157004,0.03364017,0.172629189,0.565243304,0.861890436,0.261533116,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.775412211,0.726043689,0.803840651,0.269033419,1,0.622962286,0.807208991,0.742415842,0.944596888,0.95479346,0.956209384,0.65936478,0.832862504,0.854485325,0.794931697,0.400246424,0.918866301,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.189299155,0.019368079,0.171008983,0.836757401,0.622962286,1,0.181686052,0.494319286,0.725601089,0.7448596,0.592298463,0.032023208,0.330638219,0.247006864,0.667251672,0.924045317,0.524245758,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.846840564,0.78096076,0.837177689,0.184709861,0.807208991,0.181686052,1,0.574691399,0.74088448,0.706016934,0.829328399,0.848184842,0.924453693,0.887049457,0.606457196,0.072340394,0.838436487,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.758706412,0.618554178,0.693498058,0.050449117,0.742415842,0.494319286,0.574691399,1,0.627035751,0.655867977,0.739119311,0.630834307,0.646158472,0.768704275,0.360087507,0.355789342,0.565251413,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.631015695,0.576974789,0.646839598,0.467049167,0.944596888,0.725601089,0.74088448,0.627035751,1,0.976294866,0.936916752,0.535288397,0.798707377,0.736125936,0.910435255,0.501431449,0.950335353,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.619652602,0.578591766,0.674939318,0.471073883,0.95479346,0.7448596,0.706016934,0.655867977,0.976294866,1,0.934371931,0.50527725,0.747106995,0.730743619,0.890717116,0.537807333,0.912792488,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.720668835,0.688884729,0.750983886,0.251087944,0.956209384,0.592298463,0.829328399,0.739119311,0.936916752,0.934371931,1,0.656929587,0.848114625,0.824530133,0.825575611,0.349079344,0.923993202,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.928340497,0.888051887,0.820784451,0.411157004,0.65936478,0.032023208,0.848184842,0.630834307,0.535288397,0.50527725,0.656929587,1,0.848012619,0.867756094,0.300578731,0.204811968,0.647420927,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.872851947,0.755896036,0.800224702,0.03364017,0.832862504,0.330638219,0.924453693,0.646158472,0.798707377,0.747106995,0.848114625,0.848012619,1,0.870455661,0.613942091,0.076315293,0.856965322,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.926809914,0.888679977,0.918240621,0.172629189,0.854485325,0.247006864,0.887049457,0.768704275,0.736125936,0.730743619,0.824530133,0.867756094,0.870455661,1,0.519783474,0.000701317,0.810575476,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.350655376,0.37235726,0.429658434,0.565243304,0.794931697,0.667251672,0.606457196,0.360087507,0.910435255,0.890717116,0.825575611,0.300578731,0.613942091,0.519783474,1,0.469967002,0.874840073,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.015845348,0.222487666,0.041992391,0.861890436,0.400246424,0.924045317,0.072340394,0.355789342,0.501431449,0.537807333,0.349079344,0.204811968,0.076315293,0.000701317,0.469967002,1,0.261647222,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.690528308,0.696883698,0.706047852,0.261533116,0.918866301,0.524245758,0.838436487,0.565251413,0.950335353,0.912792488,0.923993202,0.647420927,0.856965322,0.810575476,0.874840073,0.261647222,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.670291111,0.643619375,0.666399561,0.394018772,0.768427874,0.488433614,0.686260423,0.604793097,0.747384285,0.743582773,0.754593655,0.634400973,0.697432101,0.707310431,0.620734224,0.370376367,0.731786059,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBK,ASHOKLEY,BHARATFORG,BHEL,DRREDDY,GMRINFRA,ICICIBANK,IGL,INDUSINDBK,LUPIN,M&M,ORIENTBANK,SYNDIBANK,TATACHEM,ULTRACEMCO,UNITECH,YESBANK,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.884216681,0.910658487,0.273446853,0.775412211,-0.189299155,0.846840564,0.758706412,0.631015695,0.619652602,0.720668835,0.928340497,0.872851947,0.926809914,0.350655376,0.015845348,0.690528308,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.884216681,1,0.888928677,0.354649513,0.726043689,-0.019368079,0.78096076,0.618554178,0.576974789,0.578591766,0.688884729,0.888051887,0.755896036,0.888679977,0.37235726,0.222487666,0.696883698,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.910658487,0.888928677,1,0.233968747,0.803840651,-0.171008983,0.837177689,0.693498058,0.646839598,0.674939318,0.750983886,0.820784451,0.800224702,0.918240621,0.429658434,0.041992391,0.706047852,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.273446853,0.354649513,0.233968747,1,-0.269033419,0.836757401,0.184709861,-0.050449117,-0.467049167,-0.471073883,-0.251087944,0.411157004,0.03364017,0.172629189,-0.565243304,0.861890436,-0.261533116,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.775412211,0.726043689,0.803840651,-0.269033419,1,-0.622962286,0.807208991,0.742415842,0.944596888,0.95479346,0.956209384,0.65936478,0.832862504,0.854485325,0.794931697,-0.400246424,0.918866301,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.189299155,-0.019368079,-0.171008983,0.836757401,-0.622962286,1,-0.181686052,-0.494319286,-0.725601089,-0.7448596,-0.592298463,-0.032023208,-0.330638219,-0.247006864,-0.667251672,0.924045317,-0.524245758,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.846840564,0.78096076,0.837177689,0.184709861,0.807208991,-0.181686052,1,0.574691399,0.74088448,0.706016934,0.829328399,0.848184842,0.924453693,0.887049457,0.606457196,0.072340394,0.838436487,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.758706412,0.618554178,0.693498058,-0.050449117,0.742415842,-0.494319286,0.574691399,1,0.627035751,0.655867977,0.739119311,0.630834307,0.646158472,0.768704275,0.360087507,-0.355789342,0.565251413,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.631015695,0.576974789,0.646839598,-0.467049167,0.944596888,-0.725601089,0.74088448,0.627035751,1,0.976294866,0.936916752,0.535288397,0.798707377,0.736125936,0.910435255,-0.501431449,0.950335353,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.619652602,0.578591766,0.674939318,-0.471073883,0.95479346,-0.7448596,0.706016934,0.655867977,0.976294866,1,0.934371931,0.50527725,0.747106995,0.730743619,0.890717116,-0.537807333,0.912792488,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.720668835,0.688884729,0.750983886,-0.251087944,0.956209384,-0.592298463,0.829328399,0.739119311,0.936916752,0.934371931,1,0.656929587,0.848114625,0.824530133,0.825575611,-0.349079344,0.923993202,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.928340497,0.888051887,0.820784451,0.411157004,0.65936478,-0.032023208,0.848184842,0.630834307,0.535288397,0.50527725,0.656929587,1,0.848012619,0.867756094,0.300578731,0.204811968,0.647420927,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.872851947,0.755896036,0.800224702,0.03364017,0.832862504,-0.330638219,0.924453693,0.646158472,0.798707377,0.747106995,0.848114625,0.848012619,1,0.870455661,0.613942091,-0.076315293,0.856965322,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.926809914,0.888679977,0.918240621,0.172629189,0.854485325,-0.247006864,0.887049457,0.768704275,0.736125936,0.730743619,0.824530133,0.867756094,0.870455661,1,0.519783474,0.000701317,0.810575476,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.350655376,0.37235726,0.429658434,-0.565243304,0.794931697,-0.667251672,0.606457196,0.360087507,0.910435255,0.890717116,0.825575611,0.300578731,0.613942091,0.519783474,1,-0.469967002,0.874840073,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.015845348,0.222487666,0.041992391,0.861890436,-0.400246424,0.924045317,0.072340394,-0.355789342,-0.501431449,-0.537807333,-0.349079344,0.204811968,-0.076315293,0.000701317,-0.469967002,1,-0.261647222,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.690528308,0.696883698,0.706047852,-0.261533116,0.918866301,-0.524245758,0.838436487,0.565251413,0.950335353,0.912792488,0.923993202,0.647420927,0.856965322,0.810575476,0.874840073,-0.261647222,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBK,ASHOKLEY,BHARATFORG,DRREDDY,ICICIBANK,IGL,M&M,ORIENTBANK,SYNDIBANK,TATACHEM,YESBANK,BHEL,GMRINFRA,INDUSINDBK,LUPIN,ULTRACEMCO,UNITECH,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.884216681,0.910658487,0.775412211,0.846840564,0.758706412,0.720668835,0.928340497,0.872851947,0.926809914,0.690528308,0.273446853,0.189299155,0.631015695,0.619652602,0.350655376,0.015845348,,0.565251413,,,,,,,,,,,,,,,,,,,,,,,,,
0.884216681,1,0.888928677,0.726043689,0.78096076,0.618554178,0.688884729,0.888051887,0.755896036,0.888679977,0.696883698,0.354649513,0.019368079,0.576974789,0.578591766,0.37235726,0.222487666,,0.814166847,,,,,,,,,,,,,,,,,,,,,,,,,
0.910658487,0.888928677,1,0.803840651,0.837177689,0.693498058,0.750983886,0.820784451,0.800224702,0.918240621,0.706047852,0.233968747,0.171008983,0.646839598,0.674939318,0.429658434,0.041992391,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.775412211,0.726043689,0.803840651,1,0.807208991,0.742415842,0.956209384,0.65936478,0.832862504,0.854485325,0.918866301,0.269033419,0.622962286,0.944596888,0.95479346,0.794931697,0.400246424,,0.467049167,,,,,,,,,,,,,,,,,,,,,,,,,
0.846840564,0.78096076,0.837177689,0.807208991,1,0.574691399,0.829328399,0.848184842,0.924453693,0.887049457,0.838436487,0.184709861,0.181686052,0.74088448,0.706016934,0.606457196,0.072340394,,0.752801383,,,,,,,,,,,,,,,,,,,,,,,,,
0.758706412,0.618554178,0.693498058,0.742415842,0.574691399,1,0.739119311,0.630834307,0.646158472,0.768704275,0.565251413,0.050449117,0.494319286,0.627035751,0.655867977,0.360087507,0.355789342,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.720668835,0.688884729,0.750983886,0.956209384,0.829328399,0.739119311,1,0.656929587,0.848114625,0.824530133,0.923993202,0.251087944,0.592298463,0.936916752,0.934371931,0.825575611,0.349079344,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.928340497,0.888051887,0.820784451,0.65936478,0.848184842,0.630834307,0.656929587,1,0.848012619,0.867756094,0.647420927,0.411157004,0.032023208,0.535288397,0.50527725,0.300578731,0.204811968,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.872851947,0.755896036,0.800224702,0.832862504,0.924453693,0.646158472,0.848114625,0.848012619,1,0.870455661,0.856965322,0.03364017,0.330638219,0.798707377,0.747106995,0.613942091,0.076315293,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.926809914,0.888679977,0.918240621,0.854485325,0.887049457,0.768704275,0.824530133,0.867756094,0.870455661,1,0.810575476,0.172629189,0.247006864,0.736125936,0.730743619,0.519783474,0.000701317,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.690528308,0.696883698,0.706047852,0.918866301,0.838436487,0.565251413,0.923993202,0.647420927,0.856965322,0.810575476,1,0.261533116,0.524245758,0.950335353,0.912792488,0.874840073,0.261647222,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.273446853,0.354649513,0.233968747,0.269033419,0.184709861,0.050449117,0.251087944,0.411157004,0.03364017,0.172629189,0.261533116,1,0.836757401,0.467049167,0.471073883,0.565243304,0.861890436,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.189299155,0.019368079,0.171008983,0.622962286,0.181686052,0.494319286,0.592298463,0.032023208,0.330638219,0.247006864,0.524245758,0.836757401,1,0.725601089,0.7448596,0.667251672,0.924045317,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.631015695,0.576974789,0.646839598,0.944596888,0.74088448,0.627035751,0.936916752,0.535288397,0.798707377,0.736125936,0.950335353,0.467049167,0.725601089,1,0.976294866,0.910435255,0.501431449,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.619652602,0.578591766,0.674939318,0.95479346,0.706016934,0.655867977,0.934371931,0.50527725,0.747106995,0.730743619,0.912792488,0.471073883,0.7448596,0.976294866,1,0.890717116,0.537807333,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.350655376,0.37235726,0.429658434,0.794931697,0.606457196,0.360087507,0.825575611,0.300578731,0.613942091,0.519783474,0.874840073,0.565243304,0.667251672,0.910435255,0.890717116,1,0.469967002,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.015845348,0.222487666,0.041992391,0.400246424,0.072340394,0.355789342,0.349079344,0.204811968,0.076315293,0.000701317,0.261647222,0.861890436,0.924045317,0.501431449,0.537807333,0.469967002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
